id,audience,theme,business_question,question_type,time_grain,key_filters_slicers,metric_kpi,source_columns_raw,fact_table,dimension_tables,priority
1,Both,Headcount,What is the total active headcount as of end of this month?,Snapshot,Monthly,Department|Sub-Dept|Grade|Gender|LOB|Business Group,Active HC = COUNT(empid) WHERE empstatus='Active',empid|empstatus|endofmonth|department|sub department|grade|gender|lob|businessgroup,fact_headcount,dim_employee|dim_date|dim_department|dim_grade,P1
2,Both,Headcount,How has headcount trended month-on-month over the last 12 months?,Trend,Monthly,Department|LOB|Grade,MoM HC = Active HC(current month) vs Active HC(prior month),empid|empstatus|endofmonth|department|lob,fact_headcount,dim_employee|dim_date|dim_department,P1
3,HRBP,Headcount,What is the headcount split by gender across departments?,Snapshot,Monthly,Department|Sub-Dept|LOB,Gender ratio = Male HC/Total HC; Female HC/Total HC,empid|gender|empstatus|endofmonth|department|sub department,fact_headcount,dim_employee|dim_date|dim_department,P1
4,Manager,Headcount,How many employees are in my team right now?,Snapshot,Monthly,Manager ID|Department,Manager HC = COUNT(empid) WHERE manager_id=[x] AND empstatus='Active',empid|empstatus|manager_id|manager_name|endofmonth,fact_headcount,dim_employee|dim_date|dim_manager,P1
5,Both,Headcount,What is the headcount by grade / job level?,Snapshot,Monthly,Department|Grade|Job Level,HC by Grade = COUNT(empid) GROUP BY grade|joblevel,empid|grade|joblevel|empstatus|endofmonth|department,fact_headcount,dim_employee|dim_date|dim_grade|dim_department,P2
6,HRBP,Headcount,How many new hires joined this month vs last month?,Flow,Monthly,Department|Grade|Gender|LOB,New Hire Count = COUNT(empid) WHERE newhireflag='Yes',empid|newhireflag|endofmonth|department|grade|gender|lob,fact_headcount,dim_employee|dim_date|dim_department,P1
7,Both,Headcount,What is the headcount by tenure bucket?,Snapshot,Monthly,Department|Grade|Tenure Bucket,HC by Tenure = COUNT(empid) GROUP BY tenure_bucket,empid|tenure_bucket|tenure_months|empstatus|endofmonth|department,fact_headcount,dim_employee|dim_date|dim_department|dim_tenure,P2
8,HRBP,Headcount,What is the headcount by employee type (Full Time / Contract)?,Snapshot,Monthly,Department|LOB,HC by Emp Type = COUNT(empid) GROUP BY employeetype,empid|employeetype|empstatus|endofmonth|department|lob,fact_headcount,dim_employee|dim_date|dim_department,P2
9,HRBP,Headcount,How does headcount compare across business groups?,Snapshot,Monthly,LOB|Business Group|CXO,HC by business = COUNT(empid) GROUP BY lob|businessgroup,empid|lob|businessgroup|cxo|empstatus|endofmonth,fact_headcount,dim_employee|dim_date|dim_org,P2
10,Manager,Headcount,What is the IC vs PM split in my team?,Snapshot,Monthly,Manager ID|Department,IC % = COUNT(IC)/Total HC for manager,empid|ic_pm|manager_id|empstatus|endofmonth,fact_headcount,dim_employee|dim_date|dim_manager,P2
11,Both,Attrition,What is the overall attrition rate this month / YTD?,Rate,Monthly/YTD,Department|LOB|Grade,Attrition % = Leavers in period / Avg Active HC in period * 100,empid|empstatus|lwd|endofmonth|department|lob|grade,fact_attrition,dim_employee|dim_date|dim_department|dim_grade,P1
12,HRBP,Attrition,What is the voluntary vs involuntary attrition split?,Breakdown,Monthly/YTD,Department|Grade|Exit Type,Vol % = Vol Leavers/Total Leavers; Invol % = Invol Leavers/Total Leavers,empid|final_exit_type|lwd|endofmonth|department,fact_attrition,dim_employee|dim_date|dim_exit_reason|dim_department,P1
13,Both,Attrition,What are the top reasons employees are leaving?,Breakdown,Monthly/YTD,Department|Grade|Exit Type,Leaver count by final_reason_of_exit,empid|final_reason_of_exit|final_exit_type|lwd|department|grade,fact_attrition,dim_employee|dim_date|dim_exit_reason|dim_department,P1
14,Manager,Attrition,How many people left my team this month / quarter?,Count,Monthly/Quarterly,Manager ID,Team attrition = COUNT(leavers) WHERE manager_id=[x],empid|manager_id|manager_name|lwd|empstatus|endofmonth,fact_attrition,dim_employee|dim_date|dim_manager,P1
15,HRBP,Attrition,What is the attrition rate by tenure bucket?,Rate,Monthly/YTD,Tenure Bucket|Department,Attrition % by tenure = Leavers in tenure band / HC in tenure band * 100,empid|tenure_bucket|tenure_months|lwd|empstatus|endofmonth|department,fact_attrition,dim_employee|dim_date|dim_tenure|dim_department,P1
16,HRBP,Attrition,What is the attrition rate by grade / job level?,Rate,Monthly/YTD,Grade|Job Level|Department,Attrition % by grade = Leavers in grade / HC in grade * 100,empid|grade|joblevel|lwd|empstatus|endofmonth|department,fact_attrition,dim_employee|dim_date|dim_grade|dim_department,P2
17,Both,Attrition,How does attrition compare across departments?,Comparison,Monthly/YTD,Department|LOB,Dept attrition % ranked; highlight above/below org average,empid|department|lob|lwd|empstatus|endofmonth,fact_attrition,dim_employee|dim_date|dim_department,P1
18,HRBP,Attrition,What is the attrition trend month-on-month for the last 12 months?,Trend,Monthly,Department|LOB|Grade,Rolling 12M attrition = Leavers(last 12M)/Avg HC(last 12M) * 100,empid|empstatus|lwd|endofmonth|department|lob,fact_attrition,dim_employee|dim_date|dim_department,P1
19,HRBP,Attrition,What is the gender-wise attrition rate?,Breakdown,Monthly/YTD,Gender|Department,Gender attrition % = Gender Leavers / Gender HC * 100,empid|gender|lwd|empstatus|endofmonth|department,fact_attrition,dim_employee|dim_date|dim_department,P2
20,Manager,Attrition,Which employees in my team have resigned but not yet left (notice period)?,Pipeline,Snapshot,Manager ID,In-notice = empid WHERE resignation_date IS NOT NULL AND lwd > today,empid|resignation_date|lwd|manager_id|empstatus,fact_attrition,dim_employee|dim_date|dim_manager,P1
21,HRBP,Attrition,What is the first-year attrition rate (employees leaving within 12 months)?,Rate,YTD/Annual,Department|Grade|Join Cohort,1Y attrition = Leavers with tenure_months<=12 / Total Leavers * 100,empid|tenure_months|tenure_bucket|lwd|department|grade|date_of_joining,fact_attrition,dim_employee|dim_date|dim_tenure|dim_department,P1
22,HRBP,Attrition,Do exit reasons differ by department or grade?,Cross-tab,YTD/Annual,Department|Grade|Exit Reason,Leaver count by exit reason x department/grade,empid|final_reason_of_exit|final_exit_type|department|grade|lwd,fact_attrition,dim_employee|dim_date|dim_exit_reason|dim_department|dim_grade,P2
23,HRBP,Attrition,What is the attrition rate for new hires (joined in last 6 months)?,Rate,Monthly,Department|Grade,New hire attrition = Leavers where tenure_months<=6 / New hires in same period * 100,empid|newhireflag|tenure_months|lwd|empstatus|endofmonth|department|grade,fact_attrition,dim_employee|dim_date|dim_tenure|dim_department,P2
24,Manager,Attrition,What is the performance rating distribution of employees who left?,Breakdown,YTD/Annual,Manager ID|Department|Grade,Leaver count by emprating,empid|emprating|lwd|manager_id|department|grade,fact_attrition,dim_employee|dim_date|dim_manager|dim_grade,P2
25,HRBP,Attrition,How long is the average tenure of employees who left?,Metric,YTD/Annual,Department|Grade|Exit Type,Avg tenure of leavers = AVG(tenure_months) WHERE empstatus='Inactive',empid|tenure_months|tenure_days|lwd|department|grade|final_exit_type,fact_attrition,dim_employee|dim_date|dim_department|dim_grade,P2
